id,performance_id,component_index,component_name,factor,panel_score,judges_scores
181,61,1,Composition,1.67,8.11,"8.50,8.00,7.75,8.00,8.50,8.00,8.25,7.75,8.25"
182,61,2,Presentation,1.67,8.04,"8.00,7.75,7.75,8.25,8.75,8.00,8.50,7.75,8.00"
183,61,3,Skating Skills,1.67,8.07,"8.00,7.75,7.75,8.00,8.25,8.50,8.25,7.50,8.50"
184,62,1,Composition,1.67,7.89,"8.00,8.00,8.50,7.50,8.00,8.25,8.00,7.50,7.50"
185,62,2,Presentation,1.67,8.0,"8.00,7.75,8.25,7.75,8.75,8.25,8.25,7.75,7.75"
186,62,3,Skating Skills,1.67,8.36,"8.50,8.25,8.25,8.00,8.50,8.75,8.50,8.25,8.25"
187,63,1,Composition,1.67,7.75,"8.25,8.25,7.75,7.75,8.00,7.25,7.00,7.50,7.75"
188,63,2,Presentation,1.67,7.68,"8.25,8.00,7.50,7.75,8.50,7.00,7.25,7.25,7.75"
189,63,3,Skating Skills,1.67,7.75,"8.00,8.25,7.50,7.50,8.25,7.50,7.50,7.50,8.00"
190,64,1,Composition,1.67,7.43,"8.00,7.25,7.50,7.75,7.50,7.50,7.25,7.25,7.25"
191,64,2,Presentation,1.67,7.5,"7.50,7.50,7.75,7.75,8.00,7.50,7.50,7.00,7.00"
192,64,3,Skating Skills,1.67,7.5,"7.75,7.25,7.50,7.50,7.75,7.25,7.50,7.50,7.50"
193,65,1,Composition,1.67,8.36,"8.50,8.50,8.25,8.50,8.75,8.00,8.00,7.50,8.75"
194,65,2,Presentation,1.67,8.32,"8.50,8.50,8.25,8.25,8.25,8.25,8.25,7.50,8.50"
195,65,3,Skating Skills,1.67,8.29,"8.25,8.25,8.50,8.50,8.50,8.00,8.00,7.75,8.75"
196,66,1,Composition,1.67,6.93,"6.75,7.25,6.50,7.00,7.25,6.75,7.00,6.75,7.00"
197,66,2,Presentation,1.67,6.93,"7.25,7.25,6.75,7.00,7.75,6.75,6.75,6.75,6.75"
198,66,3,Skating Skills,1.67,7.14,"7.25,7.00,6.75,7.25,7.50,7.00,7.00,7.25,7.25"
199,67,1,Composition,1.67,7.54,"7.50,7.25,8.00,8.00,8.00,7.25,7.25,7.50,7.25"
200,67,2,Presentation,1.67,7.43,"7.25,7.00,7.75,7.50,7.75,7.75,7.25,7.50,6.75"
201,67,3,Skating Skills,1.67,7.64,"7.50,7.25,8.00,8.00,8.00,7.25,7.50,7.75,7.50"
202,68,1,Composition,1.67,6.14,"6.00,6.75,6.00,6.00,6.50,5.75,6.25,6.50,5.75"
203,68,2,Presentation,1.67,6.29,"6.25,6.50,6.25,6.25,6.75,5.75,6.75,6.25,5.50"
204,68,3,Skating Skills,1.67,6.43,"6.75,7.25,6.50,6.00,6.25,6.25,6.50,6.50,6.25"
205,69,1,Composition,1.67,7.68,"7.25,8.25,8.25,7.00,7.50,8.00,7.50,7.50,7.75"
206,69,2,Presentation,1.67,7.79,"7.25,8.00,8.00,7.25,8.00,8.25,7.75,7.50,8.00"
207,69,3,Skating Skills,1.67,7.93,"7.50,8.25,8.25,7.50,7.75,8.25,7.75,7.75,8.25"
208,70,1,Composition,1.67,6.89,"6.75,7.25,7.50,6.75,7.00,6.75,6.75,6.25,7.00"
209,70,2,Presentation,1.67,6.75,"6.25,7.25,7.25,6.50,7.25,6.50,7.00,6.50,6.25"
210,70,3,Skating Skills,1.67,7.14,"7.25,7.25,7.50,7.00,6.75,6.50,7.25,7.00,7.50"
211,71,1,Composition,2.67,8.29,"8.25,8.25,8.00,8.25,8.50,8.00,8.25,8.50,8.50"
212,71,2,Presentation,2.67,8.32,"8.25,8.50,8.25,8.00,8.25,8.25,8.50,9.00,8.25"
213,71,3,Skating Skills,2.67,8.29,"8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.75,8.50"
214,72,1,Composition,2.67,8.57,"8.25,8.75,8.75,8.50,8.75,8.50,8.25,8.75,8.50"
215,72,2,Presentation,2.67,8.5,"8.50,8.25,8.50,8.75,8.50,8.25,8.50,8.50,8.75"
216,72,3,Skating Skills,2.67,8.46,"8.00,8.50,8.75,8.50,8.50,8.00,8.50,8.50,8.75"
217,73,1,Composition,2.67,8.04,"8.00,7.75,7.75,8.00,8.25,8.25,7.75,8.25,8.25"
218,73,2,Presentation,2.67,8.07,"7.75,7.75,7.75,8.25,8.00,8.50,7.75,8.50,8.50"
